date,median,lower_95,upper_95
2020-02-29,0.3715175,0.10513779999999999,1.2073222499999998
2020-03-01,0.3393195,0.11851302500000001,0.8498005499999997
2020-03-02,0.31062100000000004,0.122653425,0.6913124749999998
2020-03-03,0.2948455,0.11586355,0.626463125
2020-03-04,0.287628,0.109895925,0.604508625
2020-03-05,0.29162,0.1072406,0.6064999499999996
2020-03-06,0.3059265,0.10132555,0.6507072499999998
2020-03-07,0.333152,0.10470875,0.7114142999999998
2020-03-08,0.368039,0.11566365,0.7876058749999999
2020-03-09,0.420095,0.1302601,0.8814426749999998
2020-03-10,0.4889165,0.1676436,1.0068302499999982
2020-03-11,0.583271,0.2188423,1.1481082499999997
2020-03-12,0.7035075,0.30056855,1.2896779999999997
2020-03-13,0.85754,0.389331475,1.4903205000000002
2020-03-14,1.04889,0.546366725,1.7593777499999992
2020-03-15,1.28112,0.72180235,2.0694945
2020-03-16,1.565835,0.930753775,2.3686700000000003
2020-03-17,1.860465,1.198582,2.756296749999999
2020-03-18,2.119085,1.40489425,3.0854032499999984
2020-03-19,2.2293950000000002,1.49235475,3.2409957499999997
2020-03-20,2.1975,1.4739865,3.2223882499999994
2020-03-21,2.090785,1.38440075,3.0642039999999997
2020-03-22,1.962125,1.25490075,2.9625809999999992
2020-03-23,1.87492,1.1558160000000002,2.8674319999999995
2020-03-24,1.8011300000000001,1.1044172499999998,2.770524
2020-03-25,1.7202250000000001,1.0244579999999999,2.6458809999999993
2020-03-26,1.6567699999999999,0.972467775,2.5781835
2020-03-27,1.588145,0.9220717250000001,2.4575457499999986
2020-03-28,1.540505,0.882349325,2.401839
2020-03-29,1.509375,0.861983175,2.3710259999999996
2020-03-30,1.47147,0.832255025,2.3802394999999996
2020-03-31,1.43519,0.798149275,2.2996089999999993
2020-04-01,1.346595,0.7222025,2.192757749999999
2020-04-02,1.2141099999999998,0.59936635,1.998732249999998
2020-04-03,1.0545149999999999,0.49339710000000003,1.7785147499999994
2020-04-04,0.884115,0.375773925,1.54567425
2020-04-05,0.708618,0.269562075,1.2978699999999999
2020-04-06,0.5422715,0.1760282,1.0668259999999998
2020-04-07,0.4085455,0.11576085,0.8764929749999992
2020-04-08,0.3062475,0.07008646750000001,0.7469550999999994
2020-04-09,0.2260135,0.0414102925,0.6266537999999993
2020-04-10,0.170407,0.023987704999999998,0.550796725
2020-04-11,0.127142,0.0144254975,0.4866670749999999
2020-04-12,0.0968169,0.008479029749999999,0.4409422499999994
2020-04-13,0.0762625,0.004849998,0.41860919999999974
2020-04-14,0.06045125,0.0029078805,0.4024026749999994
2020-04-15,0.048647800000000005,0.0019120102500000003,0.38888767499999877
2020-04-16,0.0413088,0.00109674475,0.4086825749999998
2020-04-17,0.03433895,7.06743525e-4,0.40459169999999933
2020-04-18,0.029114050000000002,5.009199500000001e-4,0.3689847249999995
2020-04-19,0.025702000000000003,3.4577502500000005e-4,0.3626036249999994
2020-04-20,0.022003349999999998,2.3768770000000004e-4,0.32393774999999975
