iter,date,new_cases
1,2020-10-16,54
1,2020-10-17,28
1,2020-10-18,49
1,2020-10-19,43
1,2020-10-20,43
1,2020-10-21,35
1,2020-10-22,44
1,2020-10-23,38
1,2020-10-24,27
1,2020-10-25,50
2,2020-10-16,31
2,2020-10-17,85
2,2020-10-18,67
2,2020-10-19,41
2,2020-10-20,31
2,2020-10-21,34
2,2020-10-22,52
2,2020-10-23,40
2,2020-10-24,28
2,2020-10-25,41
3,2020-10-16,127
3,2020-10-17,119
3,2020-10-18,122
3,2020-10-19,176
3,2020-10-20,280
3,2020-10-21,145
3,2020-10-22,102
3,2020-10-23,280
3,2020-10-24,311
3,2020-10-25,247
4,2020-10-16,99
4,2020-10-17,85
4,2020-10-18,110
4,2020-10-19,69
4,2020-10-20,87
4,2020-10-21,77
4,2020-10-22,157
4,2020-10-23,39
4,2020-10-24,92
4,2020-10-25,104
5,2020-10-16,123
5,2020-10-17,59
5,2020-10-18,74
5,2020-10-19,124
5,2020-10-20,62
5,2020-10-21,56
5,2020-10-22,61
5,2020-10-23,67
5,2020-10-24,36
5,2020-10-25,45
6,2020-10-16,114
6,2020-10-17,143
6,2020-10-18,144
6,2020-10-19,69
6,2020-10-20,111
6,2020-10-21,190
6,2020-10-22,195
6,2020-10-23,195
6,2020-10-24,140
6,2020-10-25,120
7,2020-10-16,77
7,2020-10-17,114
7,2020-10-18,219
7,2020-10-19,100
7,2020-10-20,154
7,2020-10-21,74
7,2020-10-22,168
7,2020-10-23,238
7,2020-10-24,165
7,2020-10-25,268
8,2020-10-16,71
8,2020-10-17,133
8,2020-10-18,64
8,2020-10-19,259
8,2020-10-20,157
8,2020-10-21,221
8,2020-10-22,237
8,2020-10-23,127
8,2020-10-24,299
8,2020-10-25,270
9,2020-10-16,54
9,2020-10-17,59
9,2020-10-18,21
9,2020-10-19,63
9,2020-10-20,26
9,2020-10-21,30
9,2020-10-22,19
9,2020-10-23,45
9,2020-10-24,59
9,2020-10-25,37
10,2020-10-16,129
10,2020-10-17,61
10,2020-10-18,24
10,2020-10-19,106
10,2020-10-20,101
10,2020-10-21,81
10,2020-10-22,96
10,2020-10-23,163
10,2020-10-24,226
