iter,date,new_cases
1,2021-01-07,13
1,2021-01-08,27
1,2021-01-09,19
1,2021-01-10,15
1,2021-01-11,30
1,2021-01-12,15
1,2021-01-13,40
1,2021-01-14,79
1,2021-01-15,76
1,2021-01-16,47
1,2021-01-17,45
1,2021-01-18,63
1,2021-01-19,142
1,2021-01-20,153
2,2021-01-07,7
2,2021-01-08,2
2,2021-01-09,2
2,2021-01-10,12
2,2021-01-11,7
2,2021-01-12,7
2,2021-01-13,5
2,2021-01-14,6
2,2021-01-15,5
2,2021-01-16,10
2,2021-01-17,9
2,2021-01-18,3
2,2021-01-19,7
2,2021-01-20,10
3,2021-01-07,13
3,2021-01-08,14
3,2021-01-09,16
3,2021-01-10,12
3,2021-01-11,23
3,2021-01-12,28
3,2021-01-13,19
3,2021-01-14,55
3,2021-01-15,20
3,2021-01-16,54
3,2021-01-17,52
3,2021-01-18,22
3,2021-01-19,78
3,2021-01-20,81
4,2021-01-07,20
4,2021-01-08,32
4,2021-01-09,34
4,2021-01-10,30
4,2021-01-11,61
4,2021-01-12,37
4,2021-01-13,175
4,2021-01-14,49
4,2021-01-15,162
4,2021-01-16,431
4,2021-01-17,204
4,2021-01-18,162
4,2021-01-19,209
4,2021-01-20,312
5,2021-01-07,23
5,2021-01-08,44
5,2021-01-09,47
5,2021-01-10,102
5,2021-01-11,167
5,2021-01-12,248
5,2021-01-13,238
5,2021-01-14,286
5,2021-01-15,412
5,2021-01-16,849
5,2021-01-17,1185
5,2021-01-18,1580
5,2021-01-19,2425
5,2021-01-20,1168
6,2021-01-07,16
6,2021-01-08,32
6,2021-01-09,20
6,2021-01-10,69
6,2021-01-11,45
6,2021-01-12,79
6,2021-01-13,57
6,2021-01-14,147
6,2021-01-15,78
6,2021-01-16,101
6,2021-01-17,148
6,2021-01-18,182
6,2021-01-19,263
6,2021-01-20,301
7,2021-01-07,5
7,2021-01-08,7
7,2021-01-09,15
7,2021-01-10,16
7,2021-01-11,22
7,2021-01-12,11
7,2021-01-13,20
7,2021-01-14,17
7,2021-01-15,20
7,2021-01-16,19
7,2021-01-17,28
7,2021-01-18,17
7,2021-01-19,18
7,2021-01-20,20
8,2021-01-07,13
8,2021-01-08,7
8,2021-01-09,23
8,2021-01-10,20
8,2021-01-11,24
8,2021-01-12,38
8,2021-01-13,82
8,2021-01-14,40
8,2021-01-15,75
8,2021-01-16,111
8,2021-01-17,184
8,2021-01-18,112
8,2021-01-19,155
8,2021-01-20,278
9,2021-01-07,12
9,2021-01-08,76
9,2021-01-09,58
9,2021-01-10,45
9,2021-01-11,190
9,2021-01-12,183
9,2021-01-13,213
9,2021-01-14,319
9,2021-01-15,327
9,2021-01-16,625
9,2021-01-17,935
9,2021-01-18,961
9,2021-01-19,1720
9,2021-01-20,2765
10,2021-01-07,12
10,2021-01-08,14
10,2021-01-09,12
10,2021-01-10,11
10,2021-01-11,10
10,2021-01-12,21
10,2021-01-13,23
10,2021-01-14,21
10,2021-01-15,18
10,2021-01-16,49
10,2021-01-17,74
10,2021-01-18,19
10,2021-01-19,64
10,2021-01-20,40
11,2021-01-07,15
11,2021-01-08,15
11,2021-01-09,50
11,2021-01-10,49
11,2021-01-11,54
11,2021-01-12,54
11,2021-01-13,68
11,2021-01-14,58
11,2021-01-15,50
11,2021-01-16,144
11,2021-01-17,78
11,2021-01-18,199
11,2021-01-19,158
11,2021-01-20,232
12,2021-01-07,3
12,2021-01-08,8
12,2021-01-09,6
12,2021-01-10,13
12,2021-01-11,0
12,2021-01-12,16
12,2021-01-13,16
12,2021-01-14,7
12,2021-01-15,16
12,2021-01-16,14
12,2021-01-17,13
12,2021-01-18,7
12,2021-01-19,15
12,2021-01-20,16
13,2021-01-07,14
13,2021-01-08,14
13,2021-01-09,41
13,2021-01-10,10
13,2021-01-11,29
13,2021-01-12,45
13,2021-01-13,26
13,2021-01-14,39
13,2021-01-15,62
13,2021-01-16,75
13,2021-01-17,48
13,2021-01-18,67
13,2021-01-19,145
13,2021-01-20,205
14,2021-01-07,7
14,2021-01-08,22
14,2021-01-09,24
14,2021-01-10,12
14,2021-01-11,32
14,2021-01-12,17
14,2021-01-13,37
14,2021-01-14,26
14,2021-01-15,25
14,2021-01-16,60
14,2021-01-17,75
14,2021-01-18,60
14,2021-01-19,102
14,2021-01-20,108
15,2021-01-07,8
15,2021-01-08,10
15,2021-01-09,4
15,2021-01-10,10
15,2021-01-11,6
15,2021-01-12,12
15,2021-01-13,15
15,2021-01-14,9
15,2021-01-15,6
15,2021-01-16,12
15,2021-01-17,5
15,2021-01-18,29
15,2021-01-19,1
15,2021-01-20,10
16,2021-01-07,22
16,2021-01-08,25
16,2021-01-09,44
16,2021-01-10,100
16,2021-01-11,68
16,2021-01-12,159
16,2021-01-13,259
16,2021-01-14,157
16,2021-01-15,471
16,2021-01-16,498
