iter,date,new_cases
1,2020-11-28,37
1,2020-11-29,35
1,2020-11-30,23
1,2020-12-01,33
1,2020-12-02,32
1,2020-12-03,17
1,2020-12-04,25
1,2020-12-05,110
1,2020-12-06,37
1,2020-12-07,56
1,2020-12-08,29
1,2020-12-09,23
1,2020-12-10,53
1,2020-12-11,29
2,2020-11-28,51
2,2020-11-29,44
2,2020-11-30,63
2,2020-12-01,70
2,2020-12-02,60
2,2020-12-03,61
2,2020-12-04,30
2,2020-12-05,48
2,2020-12-06,58
2,2020-12-07,95
2,2020-12-08,84
2,2020-12-09,135
2,2020-12-10,127
2,2020-12-11,187
3,2020-11-28,80
3,2020-11-29,137
3,2020-11-30,98
3,2020-12-01,141
3,2020-12-02,273
3,2020-12-03,342
3,2020-12-04,217
3,2020-12-05,376
3,2020-12-06,366
3,2020-12-07,614
3,2020-12-08,914
3,2020-12-09,640
3,2020-12-10,715
3,2020-12-11,691
4,2020-11-28,66
4,2020-11-29,36
4,2020-11-30,98
4,2020-12-01,156
4,2020-12-02,135
4,2020-12-03,153
4,2020-12-04,131
4,2020-12-05,237
4,2020-12-06,297
4,2020-12-07,192
4,2020-12-08,206
4,2020-12-09,377
4,2020-12-10,349
4,2020-12-11,554
5,2020-11-28,36
5,2020-11-29,28
5,2020-11-30,37
5,2020-12-01,46
5,2020-12-02,68
5,2020-12-03,37
5,2020-12-04,31
5,2020-12-05,70
5,2020-12-06,27
5,2020-12-07,28
5,2020-12-08,56
5,2020-12-09,60
5,2020-12-10,86
5,2020-12-11,67
6,2020-11-28,24
6,2020-11-29,30
6,2020-11-30,36
6,2020-12-01,58
6,2020-12-02,58
6,2020-12-03,53
6,2020-12-04,80
6,2020-12-05,57
6,2020-12-06,65
6,2020-12-07,97
6,2020-12-08,52
6,2020-12-09,50
6,2020-12-10,55
6,2020-12-11,32
7,2020-11-28,18
7,2020-11-29,17
7,2020-11-30,30
7,2020-12-01,62
7,2020-12-02,40
7,2020-12-03,81
7,2020-12-04,78
7,2020-12-05,45
7,2020-12-06,47
7,2020-12-07,99
7,2020-12-08,87
7,2020-12-09,127
7,2020-12-10,76
7,2020-12-11,184
8,2020-11-28,73
8,2020-11-29,103
8,2020-11-30,63
8,2020-12-01,81
8,2020-12-02,149
8,2020-12-03,99
8,2020-12-04,161
8,2020-12-05,215
8,2020-12-06,257
8,2020-12-07,352
8,2020-12-08,511
8,2020-12-09,420
8,2020-12-10,453
8,2020-12-11,839
9,2020-11-28,48
9,2020-11-29,109
9,2020-11-30,47
9,2020-12-01,51
9,2020-12-02,142
9,2020-12-03,160
9,2020-12-04,118
9,2020-12-05,224
9,2020-12-06,146
9,2020-12-07,153
9,2020-12-08,122
9,2020-12-09,133
9,2020-12-10,240
9,2020-12-11,216
10,2020-11-28,41
10,2020-11-29,44
10,2020-11-30,78
10,2020-12-01,99
10,2020-12-02,118
10,2020-12-03,70
10,2020-12-04,124
10,2020-12-05,203
10,2020-12-06,203
10,2020-12-07,288
10,2020-12-08,401
10,2020-12-09,216
10,2020-12-10,507
10,2020-12-11,500
11,2020-11-28,23
11,2020-11-29,26
11,2020-11-30,39
11,2020-12-01,30
11,2020-12-02,45
11,2020-12-03,33
11,2020-12-04,27
11,2020-12-05,67
11,2020-12-06,58
11,2020-12-07,57
11,2020-12-08,81
11,2020-12-09,67
11,2020-12-10,72
11,2020-12-11,92
12,2020-11-28,16
12,2020-11-29,21
12,2020-11-30,50
12,2020-12-01,40
12,2020-12-02,67
12,2020-12-03,59
12,2020-12-04,98
12,2020-12-05,115
12,2020-12-06,88
12,2020-12-07,64
12,2020-12-08,84
12,2020-12-09,62
12,2020-12-10,115
12,2020-12-11,141
13,2020-11-28,26
13,2020-11-29,41
13,2020-11-30,39
13,2020-12-01,29
13,2020-12-02,41
13,2020-12-03,30
13,2020-12-04,64
13,2020-12-05,49
13,2020-12-06,31
13,2020-12-07,48
13,2020-12-08,72
13,2020-12-09,39
13,2020-12-10,43
13,2020-12-11,68
14,2020-11-28,61
14,2020-11-29,34
14,2020-11-30,35
14,2020-12-01,69
14,2020-12-02,89
14,2020-12-03,110
14,2020-12-04,139
14,2020-12-05,214
14,2020-12-06,121
14,2020-12-07,150
14,2020-12-08,197
14,2020-12-09,177
14,2020-12-10,267
14,2020-12-11,308
15,2020-11-28,73
15,2020-11-29,75
15,2020-11-30,66
15,2020-12-01,62
15,2020-12-02,97
15,2020-12-03,189
15,2020-12-04,171
15,2020-12-05,136
15,2020-12-06,191
15,2020-12-07,312
15,2020-12-08,268
15,2020-12-09,399
15,2020-12-10,486
15,2020-12-11,366
16,2020-11-28,11
16,2020-11-29,23
16,2020-11-30,5
16,2020-12-01,15
16,2020-12-02,26
16,2020-12-03,21
16,2020-12-04,17
16,2020-12-05,32
16,2020-12-06,16
16,2020-12-07,21
16,2020-12-08,13
16,2020-12-09,4
16,2020-12-10,7
16,2020-12-11,6
17,2020-11-28,76
17,2020-11-29,55
17,2020-11-30,56
17,2020-12-01,74
17,2020-12-02,98
17,2020-12-03,60
17,2020-12-04,103
17,2020-12-05,86
17,2020-12-06,174
17,2020-12-07,137
17,2020-12-08,121
17,2020-12-09,258
17,2020-12-10,378
17,2020-12-11,189
18,2020-11-28,68
18,2020-11-29,87
18,2020-11-30,139
18,2020-12-01,160
18,2020-12-02,348
18,2020-12-03,176
18,2020-12-04,144
18,2020-12-05,315
18,2020-12-06,469
18,2020-12-07,433
18,2020-12-08,565
18,2020-12-09,691
18,2020-12-10,1013
18,2020-12-11,741
19,2020-11-28,6
19,2020-11-29,14
19,2020-11-30,10
19,2020-12-01,16
19,2020-12-02,9
19,2020-12-03,16
19,2020-12-04,11
19,2020-12-05,7
19,2020-12-06,2
19,2020-12-07,11
19,2020-12-08,3
19,2020-12-09,3
19,2020-12-10,7
19,2020-12-11,4
20,2020-11-28,65
20,2020-11-29,50
20,2020-11-30,50
20,2020-12-01,136
20,2020-12-02,69
20,2020-12-03,127
20,2020-12-04,340
20,2020-12-05,110
20,2020-12-06,192
20,2020-12-07,424
20,2020-12-08,565
20,2020-12-09,623
20,2020-12-10,394
20,2020-12-11,1054
21,2020-11-28,21
21,2020-11-29,12
21,2020-11-30,21
21,2020-12-01,27
21,2020-12-02,22
21,2020-12-03,14
21,2020-12-04,22
21,2020-12-05,33
21,2020-12-06,14
21,2020-12-07,45
21,2020-12-08,30
21,2020-12-09,43
21,2020-12-10,16
21,2020-12-11,23
22,2020-11-28,25
22,2020-11-29,43
22,2020-11-30,22
22,2020-12-01,15
22,2020-12-02,36
22,2020-12-03,61
22,2020-12-04,16
22,2020-12-05,60
22,2020-12-06,41
22,2020-12-07,92
22,2020-12-08,66
22,2020-12-09,64
22,2020-12-10,42
22,2020-12-11,78
23,2020-11-28,27
23,2020-11-29,13
23,2020-11-30,9
23,2020-12-01,48
23,2020-12-02,37
23,2020-12-03,27
23,2020-12-04,35
23,2020-12-05,59
23,2020-12-06,31
23,2020-12-07,48
23,2020-12-08,32
23,2020-12-09,112
23,2020-12-10,24
23,2020-12-11,81
24,2020-11-28,58
24,2020-11-29,41
24,2020-11-30,43
24,2020-12-01,58
24,2020-12-02,67
24,2020-12-03,159
24,2020-12-04,188
24,2020-12-05,273
24,2020-12-06,269
24,2020-12-07,230
24,2020-12-08,362
24,2020-12-09,719
24,2020-12-10,451
24,2020-12-11,493
25,2020-11-28,16
25,2020-11-29,9
25,2020-11-30,18
25,2020-12-01,19
25,2020-12-02,17
25,2020-12-03,20
25,2020-12-04,23
25,2020-12-05,28
25,2020-12-06,15
25,2020-12-07,21
25,2020-12-08,17
25,2020-12-09,15
25,2020-12-10,13
25,2020-12-11,18
26,2020-11-28,36
26,2020-11-29,50
26,2020-11-30,25
26,2020-12-01,74
26,2020-12-02,24
26,2020-12-03,42
26,2020-12-04,137
26,2020-12-05,132
26,2020-12-06,86
26,2020-12-07,126
26,2020-12-08,94
26,2020-12-09,80
26,2020-12-10,194
26,2020-12-11,127
27,2020-11-28,56
27,2020-11-29,66
27,2020-11-30,97
27,2020-12-01,174
27,2020-12-02,117
27,2020-12-03,101
27,2020-12-04,170
27,2020-12-05,292
27,2020-12-06,154
27,2020-12-07,477
27,2020-12-08,626
27,2020-12-09,489
27,2020-12-10,545
27,2020-12-11,750
